surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Jigawa,43,3,Control,120,4,.3333333333333333,open question / response,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,open question / response,Hausa,writes on / reads from blackboard,respond to open question,,,,,,,,,,,,,,71,D,BC,,,f,4,No,9,,27,40.74074172973633
Round 1 Baseline,Jigawa,43,4,Control,120,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,No,55,ABC,ABC,,,d,3,No,,3,36,12.5
Round 1 Baseline,Jigawa,52,1,Treatment,131,3,.3333333333333333,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,moves around among students,group or pair work,None of the above,English,uses materials (printed/improvised),None of the above,None of the above,Hausa,uses materials (printed/improvised),respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,None of the above,English,None of the above,group or pair work,assists / group discussion,Hausa,uses materials (printed/improvised),group or pair work,closed question / response,Hausa,moves around among students,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,45,D,ABCE,,,f,4,No,8,,27,33.33333206176758
Round 1 Baseline,Jigawa,52,2,Treatment,131,3,.3333333333333333,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Hausa,uses materials (printed/improvised),respond to closed question,assists / group discussion,Teacher was silent,None of the above,group or pair work,assists / group discussion,Teacher was silent,None of the above,group or pair work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,28,D,BCE,,,e,2,No,1,,21,21.42857170104981
Round 1 Baseline,Jigawa,52,3,Treatment,131,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,English,writes on / reads from blackboard,respond to closed question,None of the above,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A,BC,,,e,1,No,18,,15,6.666666984558106
Round 1 Baseline,Jigawa,52,4,Treatment,131,3,.3333333333333333,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,None of the above,None of the above,chants,English,None of the above,None of the above,Explains,English,None of the above,None of the above,closed question / response,English,uses materials (printed/improvised),respond to closed question,instructs / presents / dictates,English,None of the above,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,38,D,ABCJ,,,c,3,No,11,1,18,19.44444465637207
Round 1 Baseline,Jigawa,53,2,Treatment,131,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,respond to open question,Explains,English,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,moves around among students,respond to open question,instructs / presents / dictates,English,moves around among students,None of the above,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,respond to open question,Explains,English,moves around among students,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to open question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,No,17,D,BC,,,c,1,No,10,,36,25
Round 1 Baseline,Jigawa,53,3,Treatment,131,3,.3333333333333333,Explains,Hausa,uses textbook,None of the above,chants,Hausa,uses textbook,None of the above,None of the above,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,instructs / presents / dictates,Hausa,uses textbook,None of the above,None of the above,Hausa,uses textbook,respond to closed question,None of the above,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Teacher was silent,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,9,D,ABC,,,f,4,No,2,,27,20.37037086486816
Round 1 Baseline,Jigawa,53,4,Treatment,131,3,.3333333333333333,instructs / presents / dictates,Hausa,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,group discussion / presentation,Explains,Hausa,moves around among students,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,uses textbook,,,,,,,,,,,,,,,,,,,,,,,,,,,14,A,A,,,e,1,No,1,,18,27.77777671813965
Round 1 Baseline,Jigawa,55,2,Treatment,131,4,.3333333333333333,chants,English,moves around among students,None of the above,chants,English,writes on / reads from blackboard,None of the above,None of the above,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,None of the above,Teacher was silent,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D,B,,,a,2,No,,,18,2.777777910232544
Round 1 Baseline,Jigawa,55,3,Treatment,131,4,.3333333333333333,None of the above,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,17,D,BC,,,e,4,No,3,3,30,3.333333492279053
Round 1 Baseline,Jigawa,55,4,Treatment,131,4,.3333333333333333,instructs / presents / dictates,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,English,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,D,BCF,,,e,2,No,3,2,15,16.66666603088379
Round 1 Baseline,Jigawa,59,1,Treatment,131,3,.3333333333333333,instructs / presents / dictates,Hausa,demonstrates / displays work,individual work,Explains,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,group or pair work,chants,Hausa,None of the above,respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,,,,,,,,,,,,,,21,AC,ABCF,,,d,2,No,1,1,27,35.18518447875977
